clean_text,category,predicted
chor stating that rs72 was not possible years b4yesnow modi has ensured bank accounts for every one economy very stable with parameters like fiscal deficit inflation under controldemo has cleaned the economy etcindirectlypc recognise modijis achievements,positive,positive
yes agree with ranjit sanghi leader however great has any follower behind all their popularity rss created once rss out they are ordinary leaders during abv time decided their next leader mask will modi govindacharya,positive,positive
can outsource our cases british courts likes rahul gandhi and his mother chidambaram and sons and many other criminals are roaming free india ,positive,negative
modi’ campaign plans are sneaky and form cheatinghe takes away the glory hardworking public servants and shows his owntill date nothing constructive innovative has come out from modi his minions modi steals other people’ credit and shows his own,positive,negative
rahul feels modi working hard and taking credit away,negative,neutral
’ simple case sedition coz per his statement modi bigger then india  ,neutral,neutral
and stray cows are eating all the crops every state that’ why modi has started realising that has made everyone chowkidar,neutral,negative
live bjp has given money rich congress assures money poor rahul gandhi rajasthan ,positive,neutral
wow india just joined exclusive elite world club space super powers becomes fourth member after america russia china kudos our relentless pmmodi sir modi modi modi every where modi modi modi ,positive,positive
burnol moment for you think modi did his job for india don’ need better proof simple regression model with 100 correlation,positive,neutral
"here are 200 reasons vote modi
133 export world class customised coaches from mcf rae bareli 134 lic and air india register profit 135 2300 rail tracks constructed speed jumped from kmday 2014 653 kmday 2018 136 neem coating urea",neutral,neutral
bhakts please don’ politicize this brave attack modi ோா ுை ,positive,neutral
you are begeraat along your army kashmir disputed and have part did spoke moist movement khalistan india etc any other country internal movements you should know there isnt any justic the world will modi will speak for palestinians all know never,negative,neutral
dont look narendra modi not from your position but look from your position,neutral,neutral
modi forever ,neutral,neutral
londons westminster magistrate court rejects bail application nirav modi ani ,neutral,negative
and the 2nd award acting goes sambit patra modi always deserve the 1st award acting jaisea baap waisa beta ,neutral,neutral
ssssh slap your mouth and shut yourself rightly said brahmins never wanted rule but take nation heights but dalits like yogi modi anti brahmin brahmin will fight back power you want nation safe hands you will sideline brahminsyou mean brahmins are threat,positive,negative
also ensured that elections are held hot summer this disadvantage for semi europeans like raga and priga this favouring local indian campaigners notably modi racist and they have made sure people european ancestry are finding difficult campaign,positive,negative
thanks for your incredible understanding economics easy bank credit leads better business opportunities even modi wouldnt oppose that believed talking about policies and not just setting narrative with the help elitist fools like yourself,positive,positive
youngest chowdikar and supporter hon india narendra modi daughter dhruhi jeegar ranat ,neutral,neutral
chidamparam say india has capacity implement free money why was not implemented your years rule was there capacity modi built that capacity last years remember todays foreign reserve lakh crore these congress looters are eying that bluff,positive,neutral
shanti lalanjithis man out this worldachievements modi beyond belief you may not find single leader world historywho could transform his country much short timethat too when all veterans his partyopposition were after his blood,negative,positive
"opposition logic surgical strike credit should soldiers not modi
space achievement credit should scientists not modi raid modi misusing the govt office",neutral,neutral
what this this hate for drdo modi,negative,negative
lasting legacy corruption the shrill and abusive attacks launched congress president rahul gandhi prime minister narendra modi and his oftrepeated ,negative,negative
"
rahul gandhi doesnt have any business farm and dont have any kind legal income source how can have knowledge about business bluffing just bluffing too scared modi thats the reason behind his all bluffs",positive,negative
modi copies congress congress benchmark for modi ,neutral,neutral
why scared raids you are clean only those who are taking money give seats and then using cash bribe voters needs worried also what democracy when techies are arrested for saying modi modi,positive,negative
modi insists has convincing proof for case against the giles india icc free media concurs yet both have successfully curbed freedom speech social media and thought only saddam had fair trial iccpray,positive,neutral
"nailed 
modi nawaz sharif india and just doing politics win election ",positive,positive
per surveys the popularity narendra modi all time record high indeed gods gift our country ,positive,positive
explained his iview arnab when was his being chaiwala had never been raisedwhen waspm candidate elitist cong brought tried2insult him then all know how modi can brand himself style did  likes you left crying,negative,neutral
getting the same response modi got 2014change inevitable,neutral,neutral
again its time for modi ,neutral,neutral
modi trying away with income tax and congress trying increase the tax burden middle class the only people who pay kuch akal wakal hai please support ,neutral,negative
after and his family squeezing out the capacity for ten years and harvesting for the development his own heirloom such grandiose talks coming out from corrupt vessel who his way jail thoughts going haywire out fear modi ,negative,neutral
its bjp who took away everything and when lost states announced for farmers moneywhat was that modis father going give that,neutral,negative
good job sir modi ,positive,positive
you are you dont look like one not supposed look like one should looking southie emulating northie calling murg punjabi over komdiwadey eulogizing shivaji clueless savarkar fit for character roles bollywood ु्ा ाा ी taang ,positive,negative
"why this wasnt achieved when you were power modi responsible for the unrest kashmir not nehru
credit nehru for not modi
hypocrisy its best",positive,negative
"have found mine
modi era scientist found something interesting  ",positive,positive
air india spokesperson dhananjay kumar said the boarding passes seemed one printed during the vibrant ,positive,neutral
yaa modi the best,positive,positive
"modi his called economist jaitley had their best day theatrics
bjp has still understand that isro drdo were found when they were still kids not now ",positive,neutral
why blame media what did modi said arnab interview when asked about modi should eat crow for his half baked rant publicity hungry modi,negative,negative
vote kyonki inko 2014 men vote denewale 69yrs old cancerpatient army man jamin kabjanebeteka apharan murderkar varanasi men ang bechne walon clean chit dedi aur modi likha case closed support culprits leader police and judge relative ,positive,neutral
pakistan imran khan said modi govt can for another misadventure before polls ,neutral,negative
please listen his speech what just said indeed great accomplisment for india but modi has the responsibility provide the citizens with the details,positive,positive
rahul praises scientists taunts modi with ‘happy world theatre day’ jibe ,positive,neutral
pak wives militants want return homeprotest srinagarappeal modi imran provide them documentsthey alleged that the government has done nothing help their families photo ,negative,neutral
corruption glue that binds opposition modi northeast – hindustan times ,neutral,neutral
ा ोी सरका ंेातरम् modi reveals congress’ attitude towards ‘chowkidar’ ‘chaiwala’…watch video know more ,positive,neutral
why not getting married with hindu man why you have issue islamophobia what happening india your beloved modi and his party,positive,negative
guess recently yash and other heros had raid again modi responsible ,positive,neutral
your view pankaj pachauri article the hindu modi the best communicator them all,positive,positive
sincere advise not use the vocabulary being used against modi this will only alienate neutral voters who may not like called andh bhakt only bcs they admire modi fight modi the points mentioned later the tweet,positive,negative
modi politician too doing good work wouldnt take the advantage elections the good work done should appreciated the way being the head the country him making such important strategic announcement makes impact globally too,positive,neutral
nonsense approach normal issue ,positive,negative
what modi actually did alloting more money the isro and drdo that they could have updated and enhanced satellite programs which lead this more the money allotedmore the sophisticated systems can devloped and better the precision,positive,neutral
was disowning himself sin that even the worst critics wouldn’ accuse narendra modi ,negative,neutral
"please support him citizens support new india which fighting corruption dirt terrorism poverty they pledge their support the chowkidar india modi who building new india which strong secure prosperous
via namo app",positive,positive
first interview modi before ,positive,neutral
today 64sathi complex mission raod bangalore office modi meeted subashnagar ward ,negative,neutral
karnataka incometax raids are underway multiple locations bengaluru hassan mandya mysuru dirty game has started should put jail all those officers sold modis hands ,negative,negative
wonder church doesnt want modi come back,neutral,neutral
illuminatis will help modi they want destroy india evm will the trick,negative,negative
what you mean prove his credentials bjp has nothing more than vote sharethe ahole just called half the indians anti india how dare that there will even soldiers who wont for modiare they also anti india,positive,negative
why did modi contest from two seats,neutral,neutral
"modi sarkar
surgical strike proof air strikeno proof lost jets 
asat missile proof reality are going through rather than ",neutral,neutral
“point one legislation that modi has enacted that discriminates mistreats minority” bruh,neutral,negative
"how under the leadership modi khadi movement growing and why will become billion enterprise
khadi movement ⁦ ⁦ ⁦ ⁦ ⁦",neutral,neutral
when modi was desperate take credit for uri balakot why can’ held accountable for pulwama failure his lethargic response equivalent treason,negative,negative
"indias chowkidar citizens support new india which fighting corruption dirt terrorism poverty they pledge their support the chowkidar india modi who building new india which strong secure prosperous
via namo app",positive,positive
anybody saw modis aggressiveness republic interview gone are the romantic flutes and violence playing both hearts now modi looks angry even give answers arnab his blue eyed boy matlab dhong interview bhi nahi diya raha hai,negative,neutral
and you saying indirectly will defeat shame whole india with 10000 all against will defeated desh nahi sahega sory  ,positive,negative
chiddu his brainless boss will remembered for chori bjp under narendra modi being applauded for its dynamism clean governance,positive,negative
ibc doubt welcome probably the only highlight his tenure the npa problem however better solved bank privatization which still hasnt happened despite modis promises minimum govt the rest dont affect economic growth land and labour laws still the same old,positive,neutral
will far more dangerous for the country modi reelected are not danger modi the danger,neutral,negative
you show ’ popularity tracker just prop the false perception that modi winning this not presidential election just for once get the courage show vote and seats and the reality that bjp losing badly will come out,negative,negative
modi today announced that india had joined the elite club space powers shooting down loworbit satellite within just three minutes with antisatellite missile demonstrating its technical capability ,negative,positive
"first all dont understand you have written your names using worms2nd modi has almost touched everything basically could within years
3rd after 23may pappu will flee this country like fled amethi",positive,negative
saraswat modi spokie anyway whats the credibility what says ,neutral,neutral
modi first number jaye ,positive,neutral
modi not earth powermodi the power universe,neutral,neutral
"loans were granted mallya nirav modi upa tenure all huge scams happened during upa
inflation hits double digit
kasab others attack india and nation does nothing mani aiyar siddhu goes pak sing their tunes",positive,negative
cong mocks mai bhi chowkidar with mai bhi berozgar campaign click here ,neutral,neutral
then pray for modis success the way its not big deal have survived bhutto his daughter his soninlaw nawaz family etc,positive,neutral
assembly elections are barometer then sadanand gowda gonna lose and remember there modi wave this time,neutral,negative
surgical strike modi has not done airstrike modi has not done asat missile modi has not done but raids modi has done avare why you people are afraid you not done scams and corruption ,negative,neutral
"asaduddin owaisi rules out 2014like wave for modi predicts third front govt centre
",neutral,neutral
and what this please tell who playing credit game where have not said anything like credit start appreciating who ever good for the nation and criticise whoever bad for the nation either modi ,negative,neutral
"simply dynast flatterer nothing else ignore him
who 1st family the nation nowmrchacko
gandhi paribar modi paribar ",neutral,negative
upa sat for five years modi sat for another five years why now what else except take political mileage,neutral,negative
offcurse modi liye main bolungi his best and best government far india,positive,positive
hearing nirav modis bail application londons westminster magistrate court begins reports ani follow live updates here ,positive,neutral
the magic narendra modi and amit shah wonderful making bigger game making candidate from varanasi dalits vote will now become null ,positive,positive
respected and dear sri narendra modi were told the and brought meeting with vip passes gujratis marwadis all over rayalseema and only kurnool 2800 families jain and vaishnav each andd gujratis jain gujratis and their marwadis are,neutral,neutral
vote for modi man development and innovation ,neutral,positive
india shoots down satellite space modi hails major breakthrough india has shot down satellite space with antisatellite missile prime minister narendra modi said wednesday hailing the test… ,negative,neutral
"one name the nation trusted and can trust forever narendra modi under whom india has achieved rare feat growth and development being one the fastest growing nations
via namo app",positive,positive
"tamil nadu 39seats kerala ap25 telengana17 karnataka28 odisha21 wb42 plus uts
total 202 seats 2014 bjp won only seats and out these 21seats came from karanataka this time karanataka congjds have vote share where modi winning ",positive,neutral
’ election time @ narendra modi team wants contest everyone else seems fight and defeat him thought ponder,positive,neutral
this the extent criticism you can have against the modi dont any sign journalism here ,neutral,neutral
just met spirited young rss worker who quit his job electronics service provider volunteer for for hsr layoutsays his only dream see modi again hails nomo milestones sigh will this dark fantasy never end,positive,positive
shame modi and air india ,neutral,negative
"narendra modi surgical strick air strick
name better trio then this",positive,neutral
modis election main factor behind rush blacklist masood azhar pushing put masood azhar the sanctions blacklist more boost indian prime minister narendra modis electoral chances still not clear when the will bring the resolution vote,positive,neutral
phaid phaid ,neutral,neutral
when congress going secore our logo than modi indian army attack air stick balakot ,neutral,neutral
modi comes power again will convert all savarna hindus the reservation for scst will increased chaiwala pakodawala chowkidar nautankibaaz banaoge toh hindus destroy karega chalega,negative,positive
modi exactly knows has nothing offer educated conscientious minds india hence trying woo chai walas chowkidars with non issues surgical strikes mission shakti,positive,negative
examining modis address antimissile test must something prevent misuse position,neutral,neutral
has just announced the achievementit drdo head credited for giving clearance which was sought upa time and was not given now dont demonise drdo head modi bhakt,neutral,neutral
"modi’ utter disdain and sheer contempt for the poor well known modiji unleashed the disaster demonetisation and destroyed the livelihood crores people
modiji enacted the ‘gabbar singh tax’ gst and decimated msme’ businesses shopkeepers ",negative,negative
modi gave india its armageddon 1998 moment iconic scene where president addresses the nation about the space missionpeople had dropped everything and sitting fear and anxiety and praying were glued ,positive,positive
very good read that under lines why hindus need rise above caste lines and vote block being back modi read and forward you like  ,positive,positive
modi had announced the 72000 smokescreen that rahul threw yesterday everyone from raghuram rajan the usual suspects the msm the paan bidi wala outside the office would have been offering their expert opinion but now you can hear pin drop,negative,neutral
india shoots down satellite test modi hails arrival space power via ,negative,neutral
big victory for india and indian agencies and see smiley faces indian officers nirav modi bail refused court ,neutral,positive
modi’ every policy just jhumla did his grade from school which just existed his speeches and called school lies crap the shut truthful people india already they don’ research before voting that’ why goonda ,negative,negative
lok sabha election 2019 live bollywood actor urmila matondkar joins congress the financial express ,positive,neutral
modi’ skill india raga’ kill india,neutral,negative
modi seems desperate doesnt wanna miss single chance exploit votes,negative,negative
well now think people are quite familiar with election jhumla ’ kind similar 15lakhs modi 2014 only difference here has made more plausible,positive,neutral
neerav modi denied bail love this choukidar,positive,positive
making modi again can give big contribution nation can proudly say have elected modi again and make nation pride again infront the world the shamless khangresiii which make nation bow shamlessly must kick like mad dog ,positive,positive
the world now recognizing and acknowledging the potential our country says while addressing public meeting mahabubnagar telangana follow live updates here ,positive,positive
has stop for things that modi has not taken and yet takes credit ,neutral,neutral
"imran
also
modified",neutral,neutral
news indian air force shot its own  helicopter and killed officers and one civilian modi ghar mein ghus mara bhakt modi modi modi,positive,negative
"aree bhai modi bhi tho yhi bolte hai
india india today because nehru
cool down
",positive,neutral
muddehanume gowda worked really hard win tumkur that too during full modi wave its really disappointing see him lose the ticket when all other sitting got will easily divert almost half voters jds,positive,negative
per modi this will asss,neutral,neutral
this not handpicked modi saha this guy picked rss karanataka head santosh but may leads internal damage bjp soon,neutral,negative
hats off all dedicated and committed workers fan opens modithemed cafe tamil nadus thoothukudi via namo app ,neutral,positive
modi fighting elections from china,neutral,neutral
about 100 farmers had said that their demands were not met then they would contest the election against narendra modi varanasi ,neutral,neutral
kon hai chutiya gandhi bapauti hai kya country narendra modi says pradhan sevak and these people are first family nonsense democracy talking about,positive,negative
can understand your frustration you too belongs the same group which are sever upset that modi government had stopped all corruption and kicked out the middlemen,neutral,negative
"
channel exclusive modi real chowkidar the country kirron kher ",positive,neutral
think this movie will last movie vivek oberoi producer tried pamper modi,neutral,neutral
how dare you say anti modi anti india your breed maligning india everywhere your speech good winning extempore competitions thats ,positive,negative
investment decent bigots for the futurephadnavis mah pramod sawant goa sonawal assam biplab tripurawhilst for the subaltern they have yogi for modi ,positive,neutral
nirav modi was pet man ghandys that’ why paid crore donation rahul’ congress 2011 return their govt obliged him steal banks ₹13000 crore ,neutral,negative
main chor hoon modi,positive,neutral
you will always find someone desperate take credit for work done others ,negative,negative
corruption the glue which binds congress other corrupts narendra modi via ,negative,negative
astro calculations confirm modi again oct 2018 article ,neutral,neutral
was wondering why has done such stupidity then found out modi supporter,negative,negative
plz dont gift them they hav crore rupees they cant chowkidar this country want giftgift som one from our poor supporter modi frm villages,negative,negative
thats modi magic for you guys ,positive,positive
youth kashmir disappointed with modi government ahead elections newsclick met students from different colleges kashmir talk about the kashmir issue the conflict and what they ,negative,negative
india wants perfect like modi not rotation and contract for months naqvi ,positive,neutral
offense modi but real south india are very rude saying this from personal travelling experiences ,negative,negative
honble sir modi ahead you will have our support forever,neutral,positive
modi government spoiled the opportunity have good relation with china and pakistan but their mindset treat their neighbor inferior actually they belong brahmin cult which always consider supreme others they have treated dalits and muslim the country,positive,negative
"modi abmnd amitshah properly said
both are waste leadersakhilesh and mayawatibecause they deoend upon onky caste popularity just spoken with some people uttarpradesh they are not happy with any party but for them bjp little bit better because their ideology",negative,negative
statement modi chor hai reality hum log chor hai abe bachne liye usko chor bolo statement modi has taken away jobs reality the unemployment figures were collected correct pattern and thus shows the reality the past ,negative,negative
doubt that narendra modi good orator but have many other faces look upon good orator can mesmerize the audience with his communication skills but this should not brought ,positive,positive
bjp’ bollywood experiment the modi biopic artistic venture political tool watch red ink with 7pm,positive,neutral
"when you out vote remember this bjp scams under modi govt
gandhi family out bail
antinational media exposed
surgical strike and air strike ruined pakistan royal treatment for lutyens journalists
fake ngos and lacs shell companies banned
terrorists are killed",negative,negative
yes exposed people who are living india but supporting enemy countrythis only bcoz modi ,positive,negative
ron placone says that they asked lot questions bullshit and stef says that gabbard was willing talk about modi which was completely deflected complete revisionism their panelists,positive,neutral
listen gen satbir singh how the bjp specifically modi deceived armed forces veterans ,neutral,negative
"think modi will announce ole gunnar solskjaer our permanent boss his press conference
just add the samll list good deeds has done
what you reckon",positive,positive
kindly dont call these stupid spoke persons like abdul misses deepak gupta and others who are against modi they dont have anything new except they have blame modi for everything not enjoying debates and really far their stupidity,negative,negative
today its modi hai toh namumkin mumkin hai the next round brainwashing should start sometime early 2022 same spiel different man,negative,negative
elecion commission has stic rosterpoint reservation act for election that single man npt allowed contest election continuouslyrahul gandhi will remonetise what modi demonetised says rahul gandhi india news times india httpstimesof,negative,negative
modi the best primeminister india and best leader world,positive,positive
hehehemost foolish tweet red this till nowi think loosing mind seeing going jail when modi will back may 2019,negative,negative
what happened opposition parties everything modi for developing india and moving india forward they thinks that modi doing politics rafael well politics asat missiles etc they just want him remove from government that why they picking this strategy,neutral,neutral
bloody traitorits not faulti can understand frustrationits only modi who going change kaum,negative,negative
waste fellow modi,negative,neutral
yes chokidaar modi bjp seat lead 400 to450,neutral,neutral
amazing modi gave interviews bhakts first time the history india ,positive,positive
mamata why did would have come west bengaldesh country one from outside can arrest him would have contributed money party would have given him safe heaven all modis like this only none them listens ,positive,negative
weindians want defeat chor modi,neutral,neutral
snake charmer space charmer india thank you and ,neutral,neutral
modi responsible too govt knew but let answers how much rdx why non military vehicle convoy road when normally roads blocked during military movement who told bomber which vehicle has protection who told bomber time day convoy isi modis friend,positive,neutral
indian foreign policy the modi era via thanks ,positive,positive
governor kalyan singh says bjp must win important for nation have modi via ,positive,positive
every pork oinking has some infomercial value our toi piglets ,neutral,neutral
modi can you one favour pack the congressaapsptmc and bsp top brass body bags and drop central asian kirghizistan the nation will happy ,positive,neutral
modi may remain governemnt with less that 272 but will powerless most important issues,positive,neutral
modi must have been bank his previous life takes too much credit from others,positive,neutral
modi please master and teach trolling ,neutral,neutral
vote modi for better india encourage others vote modi,positive,positive
are faced today with false binary not modi who the political alternatives will emerge with independent media raise funds for independent journalism ,negative,neutral
oops modi should the then instead nehru,neutral,neutral
log kuch kharab niyat modi chhavi kharab krne lage please take strict action such activities,positive,neutral
love prime ministermodi jiyou are the best,positive,positive
modi will not give vote support ,neutral,negative
another reason vote for modi,neutral,positive
this gargantuan intellect was claiming the other day that modi govt antiscience whereas was the con govt that disallowed science project like mission shakti but course con govt did gift this guy illdeserved padmabhushan for peddling garbage history ,negative,negative
mission shakthi shows that modi afraid debate cardinal socio economic questions affecting the daily life the vast masses,negative,negative
"who gave the money these guys the first place
what was doing nirav modis party before the loans were sanctioned during the upas regime",positive,neutral
2012 after the successful launch agniv mms had given the ahead drdo for the asat program congratulations scientists drdo and isro for achieving this feat modi please not politicise the achievements our scientific and defence communities ,positive,positive
bjp below 200 will clear defeat for modi but think bjp will 250 plus for sure,positive,neutral
india successfully shoots down satellite space modi via ,positive,neutral
disappointing but true those attacks are just stunts modi,negative,negative
"committed fulfil the responsibilities him indian voters who chose make him the nations watchman years ago
only committments will not doimplementation not done why struggling exit after ",neutral,neutral
link failure book rooms manually passenger very sad this type management modi hai mumkin hai,negative,negative
again again modi for desh hit ,neutral,negative
modi has two mummys one heeraben and the other maa ganga according him unfortunately needs cameras visit both ,negative,negative
"sandhya menon does its foe anyone supporting modi does its trolling get definitions right 
same rule doesnt apply everyonepeople like sandhya menon who have blue tick are more important than you blue tickless trolls",positive,negative
dear sir please help the poor muslims india under attack bjp hindu gangs encouraged prime minister modi and his people please help urgently ,negative,neutral
modi and should learn something from this,neutral,neutral
"unfortunately are not belong gujrat rajasthan that why nda not supported lalit modi nirav modi mehul choksi
now govt arranging funds for jet",negative,negative
wont leave india because will modi only,neutral,neutral
difference can now clearly seen the way kingfisher issue handled earlier govt and the way jet air issue handled modi govt main bhi chowkidar,positive,neutral
✅sikhs not modi saved kashmiri students outside omar abdullah vice president and former jammu and kashmir chief minister omar abdullah tuesday said that was sikh community which saved kashmiri students from mob violence jammu and outside recently ,neutral,neutral
"unemployment reason mallya nirav modi mehul robert vadra etc many more and all these were feed your government
can you imagine the amount money they hold themselves which too much important for economic growth",positive,negative
someone hurt hurt done modi government ,neutral,negative
congratulat every indians the success india has successfully tested the anti satellite missileindia moving fast towards becoming world leader underpm modi jees leadershipdrdo led mission will strengthen countrys security,positive,positive
both eminent scientists says strong political will like modi required rajdeep says scientists taking political sides unfortunate 3rd piller democracy and independent media foot these people are more dangerous for our democracy than external enemies,negative,neutral
replace trump with modi ,neutral,neutral
india successful testing antisatellite weapons ,positive,positive
how exactly different just that modi was fighting for the first time,positive,neutral
best praise modi anyone can imaginelists achievements like one can,positive,positive
matterhad any question set who terroristoption osamakavitamodirahulthenalso say same thingjust asking,neutral,neutral
"she has asked three questions from modi and her questions are valid you could kindly answer them small vides minute but important
",positive,neutral
here interesting fact for you under modi jis rule gopinath munde died ananth kumar died manohar pariker died sushma swaraj got kidney transplant jaitley got kidney transplant gadkari liposuction add more,positive,neutral
already had the capability and had announced way back 2012 that was enough blowing one our own leo satellites have only satisfied modis ego and his self glorification weaponisation space and isro are not one and the same,positive,neutral
mrmodi does not take support rouges and goondas,neutral,negative
niti aayog scrap css 9010 schems converent 7525 upa govt 13th planning commission total scheme was 161 out this css scheme plancomm was sanctioned fund central and state rasiomodi nda govt break css scheme number increase 575 change rasio 7525cheat ,neutral,neutral
best picture which tells many stories about failure ujjawala yojana ghar ghar bijli yojna any statement this modi only congress party fulfill its promise ,positive,negative
typical modi inaugurates halfready airport forces airlines operate they cancel flights guess who suffers greatly the people course and modi doesnt care the exercise done the next flybynight scheme ,positive,negative
"ashwin has divided country into parts
",neutral,negative
modi dont need corrupted spbsp allies whole opposition stand together against modi the people nation support modi modi have the support people india opposition also knows that ,positive,positive
india shoots down own satellite hails indias arrival space power india shot down one its satellites space with antisatellite missile wednesday prime minister narendra modi said… ,positive,negative
130 crore voters yes possible country 600 crore people wah modi wah ,neutral,positive
congratulation our drdo scientist isme high school drop out anapadh modi kya conttibution hai,positive,positive
ुं vote for modi jai hind,neutral,positive
"electoral bonds are the most illegal thing ever happened the history indian electoral politics
modi his govt which claims crusaders against corruption responsible for bringing passing such bill point here nobody politics want stop illegal things",negative,negative
modi for farmers modi again 2019 via ,neutral,positive
bullshit advani caught scam and modi has his file weak person and will never fight modi,negative,negative
hahahawt smokings mein game khel gaye modi ,negative,neutral
and was thinking modi was eyeing the youth vote with his pubg reference,neutral,neutral
the modi magic the arithmetic electoral politics fantastic new piece ,positive,positive
really disgusting stop making fun yourself even these stints will not help your modi come back power you also know reporter than marketer,negative,negative
good least you know tera baap koun hai being anti modi neither certificate being patriot nor label being traitor glad you know least baap dada koun hai tumhare,positive,neutral
india whole has coloured with modi enjoyed lot the days with modi colour,positive,positive
modi government has done great work under his leadership definetely deserves minimum two more terms make this country livable and make corruption free,positive,positive
sir congresi ask what modi govt did they made life common citizen simple son handicapped but now escalators are great help him thanks ,positive,neutral
narendra modi scores 100100 the prime minister this great country deserves another chance hope the rest his cabinet colleagues follow suit and win hearts and brains the electoral ,positive,positive
"naturally oppn just interested power modi interview opposition doesnt even have basic knowledge procedure says prime minister narendra modi hitting out those who criticised indias asat success and test timing
",positive,neutral
first years were dedicated streamline the system bring things order and prepare the ground for new ambitious work next would dedicated fulfilling the aspirations the people says modi program delhi,positive,positive
why you always blame modi bjp not others you need development india but dont use resources indiawhat mean you use your cell phone has some disadvantage not,negative,negative
dont want for higher and good education still want government job want become teacher government school and dont want for teaching those schools upon this children admission private school want reservation and job with low marks wat modi can ,positive,negative
"hindus work for rights hindus
none the tweet dilutes modis power rather incites the more vocal
this perspective you have your perspective discuss but dont break unity which even important than political leadership",positive,neutral
drdo approached the then prime minister manmohan singh 2012 and asked for permission test the asat missile but manmohan singh denied fearing that usa might impose sanctions india prime minister narendra modi has completely altered this policy,positive,neutral
pappu did not know you can also joke thought you can only abuse modi whatever does thanks for the change kya kehto paltu did know raga can also joke,positive,negative
who defined modi first ,positive,neutral
are trying give cover fire  pakistan  which has beenlike bully has been threatening india  with nuclear strike immediately after the shakti missile test the rogue country has understood what india and what narendra modi hope respond ,neutral,negative
also indian banks are harassing nris for kyc information every few months can something about congress comes power modi destabilized indian banking system and made less friendly customers what are the ideas congress strengthen indian banking system,positive,negative
lifetime active shri narendra modi prime minister india,negative,neutral
news about india from time india’ narendra modi projects military might testing antisatellite missile ,negative,neutral
this time weather modi wins loose bears will make profit because may october there will mayhem globally,positive,negative
modi style goal sure you will watch again again ,positive,positive
someone popular enough revolt would win election against modi dont try understand this beyond ,positive,neutral
when you dont have development issues rant pakistan first answer swamy who said that neither nor modi have brains about indian economy,positive,negative
but engineer unless government gives nod such action cannot undertaken the credit goes brave and honest government too modi’ govt,positive,neutral
sir that means need sack modi,neutral,negative
pappu can announce bribe 72k but modi being cant put simple fact that relates indian pride how bloody sold out you guys are ,negative,negative
poverty alleviation and welfare trust got hacked saw imran khans yesterday speech just launched poverty alleviation programme along with scheme also copied speech from modi with  thakur gave them hacking ehsaas ,neutral,negative
sapna based zirakpur mbl 9646741311 blood serve honest good persons this the highest seat you become lok sabha will great honor also only modi bjp,positive,positive
somewhere inside still know along with his family will vote for modi ,neutral,neutral
"going take nap just hope dont wake find has announced sabke bathroom cctv lagne waaley terrorism rokne liye and bhakts would howling itna bold step modi lesakte hain
",positive,negative
shouldnt share the accomplishment the departments under him this anti modi propaganda has gone too far looks like the day isnt far when you will blame the terrorists attack the doing the government,positive,negative
interesting ,positive,positive
modi should stop misusing armed forces for political gains congress ndtv news modi should stop misusing armed forces for political gains congress ndtv news the congress saturday urged prime minister narendra modi stop misusing the… ,neutral,neutral
political parties must include their manifestos commitment make personal safety education ,neutral,neutral
modi said this 2014 campaign itself earlier civilization happened the banks the rivers now make civiliztion have take broadband every village,neutral,neutral
isnt obvious not single case against gandhis vadras modi govt years only means congi first family able remote control bjp via jaitely ,positive,negative
very good sir har har modi,positive,positive
spending education four years modi government vote for ,neutral,neutral
and hes been asking about employment modi however today admitted that today while announcing his scheme told journalist that everyone india working what pappu yaar all this while why had been crying over jobs when noone unemployed,negative,neutral
its drdos success but modi makes seem did his govt did ,positive,neutral
way has bye bye congress forever more than decades now congress has failed miserably using garib for votes first all who congress announce this jai modi phir bhi modi sarkar,negative,negative
stupid woman where are your brains why you see everything with political colour magalyan find something mars you will blame modi what time hatred you have are sick,negative,negative
waiting for answer what allegations did make not good with facts and figures taken just said people will remember that modi completed though was nehrus viaion where and whom made allegation here you just abused after that,negative,negative
"why need modi lead bjp government again 2019
nda govt saved over rs12600 crore rafale deal the rafale deal negotiated the modi government resulted substantial 350 million reduction for aircraft flyaway condition
namo again  ",neutral,neutral
2014 bjp modi were asking for vote today 2019 ppl asking othrs vote for modiths power modino other politicians ever did thsmodi today foreverwe need  ,negative,neutral
lets serious your consideration for voting modi that hindu khatre mein nahi rahenge and minorities harassment you barely care about the development country,negative,negative
"vijay mallya has hit out the govt for not doing anything for kingfisher
",neutral,negative
labor laws modi labor laws,neutral,neutral
now ’ getting interesting finally growing pair are under illusion about congressy govt but least they won’ ‘fake modi war and get their asses handed back them pakistan’ but are ready for the civil war brewing india and our reaction  ,negative,neutral
introduces his book why modi right for india excommunist’ manifesto talks about his secular home where hindu civilization was ignored also his exposure post modernism art from the west while was studying with mention india ,positive,neutral
disregard for normsjudiciary disdain for opponents packing bureaucracy with compliant officials destroying institutions turning mps into lampposts creating personality cult areas where modi cant match she actually won real war and she cared for the environment,neutral,negative
the way jeypore koraput jai modi ,neutral,neutral
smitri irani was graduate 2004 and 12th class pass 2019 like like her cabinet modi finished his first and then completed and has computerized mark sheet when computer existed only happens india ,positive,neutral
book 100 mistakes modi will release leader opposition mallikarjun kharge book has cartoon characterswith first mistake rafale deal2nd gst third demonetisation fake promises less worketc ,negative,negative
not lier like jumlebaz fulfill what committed earlier ahead with vision ,neutral,negative
